	D5G	wG	D4G	D1G	DG	D4GD5G	X	Y
120	0.800146161	44.5807	0.317693556	1.398966125	2.634868025	1.117839717	-27.8747	10.305368
121	0.753237616	44.9576	0.28342923	1.362048414	2.520680415	1.036666846	-27.8747	11.3055
122	0.930318587	48.243	0.335434546	1.332022204	2.728778862	1.265753133	-27.8747	12.305632
123	0.774145223	46.4961	0.324416526	1.269492295	2.483463128	1.098561749	-27.8747	13.305764
124	0.705800188	45.0288	0.176135766	1.357586287	2.351657197	0.881935954	-27.8747	14.305896
125	0.810097426	42.7674	0	1.308262048	2.300562008	0.810097426	-27.8747	15.306027
126	0.836181228	43.3633	0.312719471	1.373794785	2.64110773	1.148900699	-27.8747	16.30616
127	0.858119988	44.7775	0.320363865	1.350836377	2.658231327	1.178483852	-27.8747	17.306292
128	0.751150709	44.5676	0.287081081	1.326120409	2.482747198	1.03823179	-27.8747	18.306423
129	0.653616805	42.1343	0.285699444	1.229145473	2.322682951	0.939316249	-27.8747	19.306557
130	0.724649443	44.1452	0.262074861	1.356880382	2.467926492	0.986724304	-27.8747	20.306688
131	0.879078298	47.3208	0.334648997	1.248150471	2.586504326	1.213727295	-27.8747	21.30682
132	0.729600503	44.1017	0.233590752	1.359755426	2.443104357	0.963191255	-27.8747	22.306952
133	0.772208635	43.4479	0.330262187	1.413253008	2.652499232	1.102470822	-27.8747	23.307083
134	0.773127068	44.218	0.308750671	1.330201944	2.53849317	1.081877739	-27.8747	24.307215
135	0.738355748	44.4832	0.253076604	1.364592382	2.478773317	0.991432352	-27.8747	25.307348
136	0.734885888	45.2499	0.265226721	1.311254246	2.425343511	1.000112608	-27.8747	26.30748
137	0.782560659	44.7556	0.316122957	1.373946755	2.593584788	1.098683616	-27.8747	27.307611
138	0.746964339	44.6611	0.257470449	1.346748027	2.473650157	1.004434788	-27.8747	28.307743
139	0.736207352	42.9569	0	0.431874405	1.284652363	0.736207352	-27.8747	29.307875
140	0.866587496	43.906	0.358983584	1.435172896	2.798119804	1.225571079	-27.8747	30.308008
141	0.617770572	44.9344	0	0.430031363	1.139012997	0.617770572	-27.8747	31.30814
142	0.82581217	46.2196	0.297380611	1.294840011	2.531387838	1.123192781	-27.8747	32.308273
143	0.823412194	43.9087	0.218178635	1.563143304	2.729841376	1.041590829	-27.8747	33.308403
144	0.780474281	44.8723	0.287345918	1.303285591	2.490994341	1.067820199	-27.8747	34.308537
145	0.712157289	43.3792	0.212661111	1.387093017	2.447407561	0.9248184	-27.8747	35.308666
146	0.734548174	44.5298	0.225283946	1.359721014	2.440801856	0.95983212	-27.8747	36.3088
147	0.744084927	43.7599	0.326326022	1.349963151	2.5471216	1.070410949	-26.8695	-35.700703
148	0.916526095	41.513	0	1.079421324	2.196099134	0.916526095	-26.8695	-34.700573
149	0.767420588	45.0177	0.310622559	1.360637387	2.560460289	1.078043147	-26.8695	-33.700439
150	0.694582219	43.7019	0.191453503	1.326381149	2.339561971	0.886035722	-26.8695	-32.700306
151	0.972510291	43.2424	0	1.338235431	2.50039391	0.972510291	-26.8695	-31.700174
152	0.763546045	45.7663	0.292258451	1.310770629	2.48473472	1.055804497	-26.8695	-30.700043
153	0.622744442	42.6247	0.156221372	1.286292135	2.203316758	0.778965814	-26.8695	-29.699911
154	0.519685066	51.064	0	0.350077029	0.940161143	0.519685066	-26.8695	-28.69978
155	0.913749371	44.5607	0.303594936	1.348973105	2.713862282	1.217344307	-26.8695	-27.699648
156	0.689945755	44.3518	0.199735053	1.37260097	2.392988762	0.889680807	-26.8695	-26.699514
157	0.698027486	43.4034	0.180555808	1.318370793	2.324738572	0.878583294	-26.8695	-25.699383
158	0.699462474	44.0897	0.180648608	1.292731476	2.296984902	0.880111083	-26.8695	-24.699251
159	0.751807198	46.5923	0.273681274	1.25676167	2.389298427	1.025488472	-26.8695	-23.69912
160	0.787646158	46.3952	0.319894978	1.272020807	2.488897623	1.107541135	-26.8695	-22.698988
161	0.73210142	45.0175	0.231977454	1.328518024	2.406732524	0.964078873	-26.8695	-21.698854
162	0.616074204	49.0931	0.256903211	1.151284314	2.142511889	0.872977415	-26.8695	-20.698723
163	0.726224361	45.0952	0.207352637	1.315215891	2.362724905	0.933576998	-26.8695	-19.698591
164	0.795607182	43.8985	0.344897407	1.371440008	2.643710249	1.140504589	-26.8695	-18.69846
165	0.82980579	42.0373	0	1.253951627	2.278810016	0.82980579	-26.8695	-17.698328
166	0.726764392	43.5695	0.267051288	1.353429411	2.474591823	0.99381568	-26.8695	-16.698196
167	0.731687088	44.2174	0.241887161	1.430366156	2.528586766	0.973574249	-26.8695	-15.698064
168	0.864554643	43.1496	0	1.277888558	2.330323783	0.864554643	-26.8695	-14.697931
169	0.75507695	43.5545	0.312996991	1.406414298	2.602554142	1.06807394	-26.8695	-13.6978
170	0.762406393	45.2843	0.279101444	1.298225934	2.453385818	1.041507837	-26.8695	-12.697667
171	0.706523939	44.1248	0.223850462	1.35039631	2.397802333	0.930374401	-26.8695	-11.697536
172	0.693260101	45.4852	0	0.444179389	1.233126202	0.693260101	-26.8695	-10.697404
173	0.751882508	47.7888	0.289722601	1.246420752	2.394025248	1.041605108	-26.8695	-9.6972713
174	0.771990302	44.1875	0.229238826	1.268700603	2.389409954	1.001229128	-26.8695	-8.6971397
175	0.662444151	42.6623	0.170865776	1.289739684	2.260197177	0.833309927	-26.8695	-7.6970077
176	0.799209292	43.9313	0.28902073	1.346528873	2.566587459	1.088230022	-26.8695	-6.6968756
177	0.721181302	44.5175	0.210867891	1.340449797	2.397737824	0.932049193	-26.8695	-5.6967435
178	0.624273051	49.2686	0.214630128	1.126331051	2.079352533	0.838903178	-26.8695	-4.6966119
179	0.746892175	44.6148	0	0.451772369	1.304806406	0.746892175	-26.8695	-3.6964798
180	0.710001	43.3154	0.112508522	1.574116663	2.563038024	0.822509522	-26.8695	-2.6963477
181	0.718431594	43.4412	0.207403048	1.452805884	2.5055855	0.925834643	-26.8695	-1.6962157
182	0.782892598	44.7293	0.30905499	1.347009238	2.56252176	1.091947589	-26.8695	-0.69608378
183	0.715232864	43.7964	0.228155368	1.344234442	2.41067235	0.943388233	-26.8695	0.30404818
184	0.819551135	44.5643	0.301117916	1.342974973	2.587808418	1.12066905	-26.8695	1.3041801
185	0.661126226	43.2449	0.203483079	1.357087749	2.357315142	0.864609304	-26.8695	2.3043122
186	0.729015491	44.0116	0.227501124	1.348372499	2.42975511	0.956516615	-26.8695	3.3044441
187	0.644660273	42.6135	0.163044991	1.319425534	2.272632699	0.807705264	-26.8695	4.3045759
188	0.581303014	44.2706	0.067128226	0.502481502	1.268286862	0.64843124	-26.8695	5.304708
189	0.689471604	44.3446	0.186944583	1.307669044	2.305515938	0.876416187	-26.8695	6.3048401
190	0.904673037	42.4058	0	1.323288238	2.441280979	0.904673037	-26.8695	7.3049722
191	0.742805026	44.9203	0.255676687	1.317083751	2.434832775	0.998481713	-26.8695	8.3051043
192	0.729714741	44.8842	0.266603128	1.327423372	2.439522465	0.996317869	-26.8695	9.3052359
193	0.784765187	43.1455	0	0.432196805	1.346664586	0.784765187	-26.8695	10.305368
194	0.720411464	43.2426	0.27312666	1.382133171	2.498322292	0.993538124	-26.8695	11.3055
195	0.794675475	43.4226	0.33535918	1.371752942	2.615961302	1.130034655	-26.8695	12.305632
196	0.991962968	43.7322	0.356306987	1.351287972	2.84795106	1.348269955	-26.8695	13.305764
197	0.708852953	44.105	0.201997577	1.375853812	2.411834352	0.91085053	-26.8695	14.305896
198	0.740670231	45.2708	0.248738208	1.313837142	2.416147192	0.989408439	-26.8695	15.306027
199	0.731307318	43.9935	0	0.402793405	1.253941669	0.731307318	-26.8695	16.30616
200	0.919762937	43.5572	0	1.331520997	2.461929173	0.919762937	-26.8695	17.306292
201	0.812181355	44.8179	0.325011342	1.357931607	2.621402152	1.137192698	-26.8695	18.306423
202	0.770555154	44.7154	0	0.434087845	1.325746152	0.770555154	-26.8695	19.306557
203	0.761088981	45.8369	0.271334657	1.277588412	2.427043958	1.032423638	-26.8695	20.306688
204	0.76010656	43.603	0.277650156	1.347547865	2.517357828	1.037756715	-26.8695	21.30682
205	0.765252937	45.9061	0.316810031	1.301625391	2.494079051	1.082062968	-26.8695	22.306952
206	0.671348865	44.2779	0.194893465	1.372530581	2.347548409	0.86624233	-26.8695	23.307083
207	0.715122223	44.562	0.207052927	1.314314697	2.357214233	0.92217515	-26.8695	24.307215
208	0.765018121	42.444	0.120247465	0.959626789	1.98469497	0.885265586	-26.8695	25.307348
209	0.73265025	45.5893	0.232167324	1.277974109	2.357540375	0.964817574	-26.8695	26.30748
210	0.785882328	43.7811	0.281450258	1.35587458	2.540523301	1.067332586	-26.8695	27.307611
211	0.710897927	43.7553	0.218291228	1.332449604	2.385947909	0.929189155	-26.8695	28.307743
212	0.808078279	43.7331	0.290627253	1.350703069	2.587557087	1.098705532	-26.8695	29.307875
213	0.721601807	43.2219	0.405924013	1.344513095	2.608869421	1.127525821	-26.8695	30.308008
214	0.729254081	42.1782	0.01344295	1.472440089	2.392046891	0.742697031	-26.8695	31.30814
215	0.719687816	43.1581	0.213444134	1.32299772	2.386011895	0.93313195	-26.8695	32.308273
216	0.597500344	46.0392	0.052776123	0.556496204	1.31319174	0.650276467	-26.8695	33.308403
217	0.722161115	41.3397	0.229069545	1.115807915	2.223270258	0.951230661	-26.8695	34.308537
218	0.669242113	43.1965	0.129313873	1.180348463	2.114862804	0.798555985	-26.8695	35.308666
219	0.754563782	45.5977	0.27569851	1.309744844	2.453837041	1.030262292	-26.8695	36.3088
